Date,Open,High,Low,Close,Volume
2022-03-11,174.36,175.72,173.77,174.32,60111920
2022-03-14,173.4,173.98,171.94,172.61,141605377
2022-03-15,172.9,173.0,172.27,172.58,121323426
2022-03-16,175.79,177.1,175.93,176.53,90663664
2022-03-17,171.84,175.65,172.91,173.01,72935936
2022-03-18,173.56,175.66,171.15,173.96,81583747
2022-03-21,175.5,176.09,174.71,174.98,101985219
2022-03-22,174.33,175.4,173.86,174.67,31685265
2022-03-23,175.27,175.64,174.14,175.14,82436076
2022-03-24,179.72,180.43,178.85,179.7,73604871
2022-03-25,176.28,176.43,173.74,176.34,93869475
2022-03-28,178.75,180.09,177.5,179.13,81239213
2022-03-29,179.9,183.19,179.49,180.31,36945433
2022-03-30,181.64,181.86,181.18,181.86,82810653
2022-03-31,175.74,177.44,174.52,176.35,113063057
2022-04-01,180.06,182.29,178.4,181.17,107272014
2022-04-04,181.29,184.84,180.98,181.92,37177022
2022-04-05,182.37,182.94,182.09,182.77,102469877
2022-04-06,179.1,181.52,177.74,178.93,79212973
2022-04-07,179.15,180.45,179.38,179.52,56124649
2022-04-08,184.76,184.57,183.38,184.32,59312747
2022-04-11,187.7,188.47,187.5,187.78,87328189
2022-04-12,187.94,187.78,186.26,187.51,88447682
2022-04-13,186.75,188.64,186.13,187.24,55310247
2022-04-14,189.7,192.11,186.26,189.72,75484449
2022-04-15,185.16,185.49,183.17,185.38,69990134
2022-04-18,185.97,187.37,185.1,186.23,110733674
2022-04-19,185.38,186.39,184.42,185.84,61306239
2022-04-20,187.65,188.36,185.14,187.24,63990360
2022-04-21,190.02,191.08,188.65,190.48,91447508
2022-04-22,189.86,191.39,189.58,190.54,56522303
2022-04-25,188.88,191.95,188.2,188.74,78478192
2022-04-26,187.73,188.06,186.24,187.14,61599667
2022-04-27,188.29,189.66,188.2,189.15,76397549
2022-04-28,189.83,191.53,189.46,189.81,68700154
2022-04-29,186.82,187.21,184.25,186.42,60050903
2022-05-02,186.51,186.68,186.53,186.55,40709210
2022-05-03,189.28,190.62,185.51,188.91,68620656
2022-05-04,188.87,191.8,186.25,188.87,84715359
2022-05-05,183.33,187.74,182.71,184.76,96380508
2022-05-06,182.28,184.1,181.51,182.4,52960769
2022-05-09,185.51,187.2,185.88,186.06,75494224
2022-05-10,190.17,191.93,189.24,190.1,63544321
2022-05-11,192.44,192.4,190.88,192.22,64430071
2022-05-12,191.99,194.23,191.73,191.89,67984021
2022-05-13,189.32,189.82,188.41,188.93,36967802
2022-05-16,191.18,193.14,190.32,191.95,48310585
2022-05-17,191.82,193.31,189.72,191.78,104975566
2022-05-18,185.35,187.37,184.22,186.16,67227252
2022-05-19,186.97,186.91,186.44,186.58,59465341
2022-05-20,189.97,190.77,189.47,190.25,77126469
2022-05-23,189.74,191.37,188.62,189.83,103280848
2022-05-24,191.0,191.86,189.16,190.58,81067135
2022-05-25,191.74,191.35,189.75,191.24,75476967
2022-05-26,185.88,186.5,184.04,185.88,78025545
2022-05-27,188.53,190.07,186.4,188.53,55605312
2022-05-30,185.07,185.03,183.88,184.72,76468628
2022-05-31,188.26,188.64,187.26,187.67,64343428
2022-06-01,183.53,184.9,183.15,183.16,65136155
2022-06-02,184.9,186.48,186.0,186.21,63582858
2022-06-03,190.71,190.55,190.02,190.15,67239520
2022-06-06,188.01,190.83,187.2,188.75,90963326
2022-06-07,186.87,188.65,185.43,185.71,56915586
2022-06-08,183.58,184.69,183.3,183.35,96772894
2022-06-09,180.34,181.51,177.49,179.26,46727174
2022-06-10,178.0,178.93,174.87,178.55,70425958
2022-06-13,182.82,183.84,181.25,183.44,87764750
2022-06-14,183.94,183.17,182.33,182.87,86005449
2022-06-15,180.81,181.98,181.28,181.54,78326301
2022-06-16,182.33,183.23,180.08,182.61,52844009
2022-06-17,187.29,188.58,183.79,187.43,78100432
2022-06-20,191.81,193.91,191.15,191.34,64493604
2022-06-21,186.55,187.7,186.66,187.54,82813363
2022-06-22,186.29,188.21,185.91,186.74,54338895
2022-06-23,186.21,187.56,185.88,186.23,59793599
2022-06-24,186.55,186.54,185.57,186.27,41959708
2022-06-27,185.42,186.22,182.9,185.27,78183565
2022-06-28,188.57,188.82,188.0,188.68,79942363
2022-06-29,190.68,190.87,189.45,190.64,71591242
2022-06-30,194.16,194.54,193.52,194.28,90743717
2022-07-01,192.37,193.29,190.23,191.85,79118789
2022-07-04,192.45,193.92,191.65,192.28,83859871
2022-07-05,190.43,190.68,188.9,189.72,78757569
2022-07-06,187.35,188.29,187.51,187.54,77474893
2022-07-07,183.87,184.79,182.18,183.77,71906292
2022-07-08,179.08,179.92,178.63,178.71,55124356
2022-07-11,176.15,179.64,175.97,176.22,88288640
2022-07-12,175.19,175.71,174.96,175.45,96883035
2022-07-13,175.19,176.2,175.3,175.55,106124007
2022-07-14,174.21,175.98,171.83,174.76,81595879
2022-07-15,170.61,173.95,169.72,171.25,86368289
2022-07-18,167.05,168.17,167.47,167.93,83643800
2022-07-19,169.84,171.61,169.68,169.85,85005189
2022-07-20,167.69,169.9,167.85,168.41,66815399
2022-07-21,169.02,168.86,168.05,168.5,88642666
2022-07-22,174.7,174.92,172.42,173.98,150041174
2022-07-25,170.71,171.86,168.68,170.9,83404801
2022-07-26,167.43,168.03,166.87,167.3,50596204
2022-07-27,165.31,165.56,164.84,165.53,89704408
2022-07-28,162.37,164.18,161.46,163.22,63536873
2022-07-29,169.25,170.57,167.87,169.0,79867449
2022-08-01,167.25,167.38,165.16,166.06,104202597
2022-08-02,165.35,166.2,165.36,165.84,92515041
2022-08-03,165.34,166.09,165.14,166.03,31335283
2022-08-04,163.64,165.12,161.79,164.35,112175073
2022-08-05,162.75,163.88,161.6,162.98,66625228
2022-08-08,163.76,162.82,162.05,162.68,77398279
2022-08-09,163.64,164.47,162.61,164.14,69434728
2022-08-10,169.19,168.94,167.56,168.82,68771840
2022-08-11,171.24,173.52,169.64,171.53,69199074
2022-08-12,175.0,177.74,173.45,176.06,73198403
2022-08-15,176.09,180.09,172.96,175.66,63679674
2022-08-16,175.34,176.12,174.14,175.81,66974540
2022-08-17,173.76,174.44,171.64,173.63,61871629
2022-08-18,172.88,173.26,172.78,172.85,43756425
2022-08-19,173.39,175.2,171.66,173.87,98220032
2022-08-22,174.15,173.93,171.19,173.55,53326071
2022-08-23,175.18,177.11,175.33,175.58,71460656
2022-08-24,172.8,173.63,169.38,172.97,85053270
2022-08-25,171.58,172.49,168.75,170.91,98752478
2022-08-26,166.58,167.7,166.46,166.9,41890560
2022-08-29,167.32,169.14,166.63,167.42,135714285
2022-08-30,163.33,164.73,161.83,163.34,91436759
2022-08-31,164.85,166.22,162.55,165.24,109190002
2022-09-01,166.41,167.79,165.54,166.54,94505283
2022-09-02,162.19,162.79,162.08,162.54,94144697
2022-09-05,160.19,162.95,159.24,160.13,92411257
2022-09-06,160.5,162.44,159.99,160.13,99479568
2022-09-07,158.36,159.22,157.13,158.08,96962483
2022-09-08,156.14,156.52,154.1,156.52,81183059
2022-09-09,158.42,158.87,157.27,158.77,63577872
2022-09-12,160.79,162.67,160.54,160.8,71041281
2022-09-13,163.61,165.93,162.23,163.93,83283757
2022-09-14,158.68,159.17,156.44,158.66,60420171
2022-09-15,156.89,158.65,156.44,157.32,46281510
2022-09-16,154.19,156.79,153.0,154.94,64576821
2022-09-19,152.83,153.98,153.33,153.39,66360480
2022-09-20,153.1,152.66,151.79,152.37,23279201
2022-09-21,149.94,151.44,150.47,150.92,61514044
2022-09-22,151.68,152.84,150.25,152.14,69766234
2022-09-23,153.39,153.3,150.77,153.15,66711603
2022-09-26,150.9,154.31,151.71,152.16,51479690
2022-09-27,155.79,155.35,153.44,155.22,83379521
2022-09-28,153.28,155.1,151.19,153.82,86343265
2022-09-29,155.88,155.33,152.37,154.92,58277580
2022-09-30,155.29,156.34,152.69,155.12,68401006
2022-10-03,158.15,159.77,156.93,157.42,96952105
2022-10-04,162.09,162.45,160.44,161.51,59202313
2022-10-05,158.52,158.49,158.02,158.05,63425598
2022-10-06,157.28,158.46,157.08,157.17,79921097
2022-10-07,156.68,158.02,154.68,157.04,62975140
2022-10-10,160.42,163.39,159.02,159.99,62283193
2022-10-11,162.01,162.53,161.09,161.91,57021665
2022-10-12,159.56,160.37,160.0,160.15,78424106
2022-10-13,158.88,159.61,156.49,158.45,89226157
2022-10-14,159.26,159.71,158.11,158.94,100787706
2022-10-17,164.05,163.13,162.66,163.08,83327177
2022-10-18,163.43,163.28,162.87,163.13,110179643
2022-10-19,163.61,164.73,163.38,163.58,80832445
2022-10-20,162.87,163.51,161.98,163.47,79203024
2022-10-21,161.07,161.59,160.26,160.62,72997322
2022-10-24,160.72,163.09,161.48,161.67,81905188
2022-10-25,161.04,161.7,160.94,161.53,53628059
2022-10-26,162.28,163.93,161.51,162.38,89693426
2022-10-27,162.8,164.43,161.29,163.21,132580249
2022-10-28,160.51,161.08,160.25,160.62,63318989
2022-10-31,155.7,157.9,156.0,156.16,61316011
2022-11-01,154.7,155.32,153.45,154.6,67276404
2022-11-02,154.55,155.98,154.67,155.17,83175161
2022-11-03,155.9,156.25,155.5,155.98,101922195
2022-11-04,158.45,159.71,156.82,158.22,61722768
2022-11-07,157.89,158.81,156.2,157.68,75071896
2022-11-08,152.75,156.13,152.05,152.97,64017443
2022-11-09,151.47,152.09,150.89,151.61,105049938
2022-11-10,153.89,155.97,152.42,154.42,58707756
2022-11-11,156.94,158.73,156.42,158.0,72119997
2022-11-14,158.42,158.64,157.53,157.62,87540396
2022-11-15,156.69,157.15,156.96,157.07,92681108
2022-11-16,154.69,155.3,154.69,154.9,71294395
2022-11-17,154.58,155.9,154.36,154.91,53097998
2022-11-18,157.76,159.27,157.3,157.66,78345571
2022-11-21,160.06,159.98,158.61,159.51,62880369
2022-11-22,156.86,157.57,157.19,157.21,65172859
2022-11-23,155.68,156.14,154.22,155.52,71966502
2022-11-24,154.45,155.97,153.9,154.95,75817873
2022-11-25,155.54,155.34,154.19,155.3,108120169
2022-11-28,155.74,156.62,155.11,155.53,52433909
2022-11-29,156.95,159.95,156.59,157.69,78753823
2022-11-30,158.69,159.06,156.39,157.86,63037281
2022-12-01,156.81,157.48,157.12,157.29,58722857
2022-12-02,160.44,162.76,160.63,161.12,70850342
2022-12-05,161.87,163.52,161.34,162.17,61328093
2022-12-06,163.27,164.5,162.73,163.5,95811926
2022-12-07,166.15,166.78,165.07,165.76,69762317
2022-12-08,161.4,162.13,160.74,161.26,85549681
2022-12-09,157.56,158.48,157.38,158.04,78340403
2022-12-12,155.37,157.44,152.67,155.34,89333272
2022-12-13,152.09,154.08,150.63,152.35,67022868
2022-12-14,151.9,152.0,151.14,151.46,90153670
2022-12-15,154.23,154.54,152.78,154.04,110370432
2022-12-16,156.44,156.77,154.56,155.61,53196270
2022-12-19,153.04,155.1,152.33,153.06,92346747
2022-12-20,151.82,153.22,150.98,151.58,95468808
2022-12-21,152.23,154.17,150.52,152.1,57462861
2022-12-22,154.86,155.17,155.13,155.15,96460804
2022-12-23,152.78,153.21,151.58,152.57,70792284
2022-12-26,154.58,156.33,154.47,154.91,46998342
2022-12-27,155.99,156.35,154.99,155.91,70196140
2022-12-28,153.35,153.96,151.77,152.58,97897980
2022-12-29,154.3,155.83,153.58,153.96,54070101
2022-12-30,156.33,156.37,154.38,155.96,99783011
2023-01-02,156.71,158.34,155.54,157.35,65347391
2023-01-03,154.45,155.78,153.99,154.75,89485279
2023-01-04,155.77,156.84,155.02,155.48,76597893
2023-01-05,157.58,157.91,155.05,156.78,95379294
2023-01-06,158.46,160.44,159.04,159.32,76084287
2023-01-09,157.9,158.63,157.04,158.1,45044287
2023-01-10,158.4,159.87,158.17,158.67,68425643
2023-01-11,156.78,157.5,157.13,157.15,53167192
2023-01-12,155.13,155.71,153.91,155.21,84762131
2023-01-13,154.59,154.49,152.37,153.34,78880067
2023-01-16,151.69,153.49,150.84,151.31,78455420
2023-01-17,150.18,151.9,149.11,150.18,56915501
2023-01-18,154.24,154.31,152.9,153.71,76314150
2023-01-19,152.13,152.3,149.2,151.92,93524061
2023-01-20,152.9,152.57,152.17,152.4,97306522
2023-01-23,153.47,157.28,153.13,153.33,78383714
2023-01-24,156.99,158.68,155.57,157.37,85673249
2023-01-25,159.25,160.61,157.61,158.89,98945317
2023-01-26,158.72,159.57,158.24,158.71,87839393
2023-01-27,156.09,157.69,155.38,156.17,85604329
2023-01-30,156.12,157.93,154.92,155.99,65654578
2023-01-31,156.86,157.28,154.84,156.33,77481506
2023-02-01,156.71,158.01,155.7,156.45,76230189
2023-02-02,158.82,159.39,158.46,158.93,73812644
2023-02-03,156.08,157.76,156.06,156.18,57590800
2023-02-06,157.02,160.58,157.89,157.9,78618504
2023-02-07,158.04,158.66,156.7,158.47,79391246
2023-02-08,154.61,155.0,152.5,154.68,64549941
2023-02-09,157.28,158.44,156.13,156.55,50281012
2023-02-10,154.17,154.26,152.45,153.44,79380553
2023-02-13,155.05,157.75,154.21,154.96,15140367
2023-02-14,153.99,154.59,154.32,154.33,61977141
2023-02-15,152.49,152.6,151.05,151.87,88592993
2023-02-16,154.04,154.75,152.5,153.45,62844233
2023-02-17,156.07,159.0,156.11,156.16,39316749
2023-02-20,155.67,156.2,153.84,155.7,52685421
2023-02-21,153.66,155.36,152.9,153.77,65556095
2023-02-22,156.11,157.61,156.54,156.75,79726495
2023-02-23,157.98,159.32,158.29,158.3,123235978
2023-02-24,158.23,158.44,156.15,157.63,102212444
2023-02-27,154.13,156.23,153.84,155.17,76040512
2023-02-28,155.34,155.49,153.8,154.61,89630659
2023-03-01,151.52,153.05,149.1,151.77,51454149
2023-03-02,154.09,155.28,153.16,154.6,92312144
2023-03-03,154.88,154.78,153.2,154.65,55521144
2023-03-06,156.61,157.61,152.67,156.64,97202174
2023-03-07,156.54,156.16,155.49,155.52,88207552
2023-03-08,153.93,154.32,151.94,153.53,90864125
2023-03-09,154.38,154.97,154.34,154.71,34333145
2023-03-10,153.91,155.04,151.91,153.48,62433696
2023-03-13,153.74,154.87,153.7,154.27,97727479
2023-03-14,158.04,157.71,155.91,157.45,101475301
2023-03-15,154.21,155.33,153.87,154.42,106861307
2023-03-16,153.67,154.79,154.24,154.45,67987819
2023-03-17,157.66,159.58,157.18,157.77,52046295
2023-03-20,161.97,163.66,160.45,161.84,122384930
2023-03-21,157.45,157.63,156.81,157.03,81866568
2023-03-22,157.9,160.02,156.52,158.23,114171267
2023-03-23,161.33,161.91,160.07,161.91,65180111
2023-03-24,161.36,163.07,160.77,161.56,74803488
2023-03-27,162.82,164.05,161.17,162.92,44634871
2023-03-28,159.26,161.01,159.7,160.08,76081907
2023-03-29,157.66,159.4,156.39,158.15,50282448
2023-03-30,159.21,159.91,159.1,159.89,123558889
2023-03-31,155.72,156.04,154.67,155.63,81304259
2023-04-03,155.54,156.57,155.55,156.04,101189394
2023-04-04,155.34,154.9,152.21,154.66,85461916
2023-04-05,154.1,155.67,153.93,154.51,95337712
2023-04-06,154.71,155.21,153.78,154.37,54359131
2023-04-07,156.55,159.05,155.94,156.54,90022524
2023-04-10,154.61,154.91,153.34,154.79,51594452
2023-04-11,154.55,154.84,153.21,154.59,66993252
2023-04-12,156.15,156.46,155.89,156.21,33645434
2023-04-13,156.12,157.58,154.05,156.42,66142178
2023-04-14,152.45,152.35,150.01,152.06,61529502
2023-04-17,153.55,154.17,153.37,153.83,72434477
2023-04-18,149.93,150.62,146.41,149.95,70739832
2023-04-19,149.41,149.16,148.67,148.97,57517680
2023-04-20,152.2,152.95,151.11,152.49,68909901
2023-04-21,152.8,153.37,151.2,152.53,78629664
2023-04-24,150.08,151.2,148.95,150.42,106931546
2023-04-25,156.31,157.39,155.13,156.34,107149615
2023-04-26,152.64,153.47,150.64,152.78,54733118
2023-04-27,155.96,155.56,154.77,155.35,44225713
2023-04-28,155.09,158.39,154.68,155.19,82103328
2023-05-01,150.66,152.2,150.66,151.3,68872682
2023-05-02,148.72,149.53,148.6,149.17,72863987
2023-05-03,148.9,148.88,147.67,148.7,77059970
2023-05-04,151.29,152.49,149.61,150.73,110656442
2023-05-05,148.56,149.0,148.05,148.57,85399837
2023-05-08,147.7,148.13,146.96,147.13,95471845
2023-05-09,151.25,152.43,151.21,151.48,43351126
2023-05-10,148.82,149.96,148.86,149.36,75558975
2023-05-11,152.46,155.49,151.97,152.26,90785058
2023-05-12,153.95,153.72,152.22,153.26,107581455
2023-05-15,151.61,152.26,151.12,151.64,57495118
2023-05-16,155.75,158.02,155.22,155.86,70858221
2023-05-17,157.67,158.9,156.86,157.77,80453447
2023-05-18,156.28,159.06,155.54,156.24,71393764
2023-05-19,154.62,156.18,155.0,155.09,104741190
2023-05-22,151.75,153.07,151.47,151.88,73124852
2023-05-23,150.9,151.02,148.26,150.9,60684335
2023-05-24,147.1,147.49,145.61,146.53,91097555
2023-05-25,151.67,153.54,151.52,151.96,70266015
2023-05-26,149.23,149.95,146.71,149.48,85609237
2023-05-29,149.01,149.3,145.23,148.8,41854307
2023-05-30,147.08,149.54,145.6,146.77,111584297
2023-05-31,145.35,144.88,142.21,144.79,110639705
2023-06-01,144.69,144.72,143.07,143.43,111158062
2023-06-02,141.62,142.04,141.38,141.89,82743646
2023-06-05,140.43,141.06,138.66,140.35,81563209
2023-06-06,137.76,138.43,136.3,137.75,41491550
2023-06-07,138.5,140.36,138.09,138.95,79386622
2023-06-08,139.9,140.8,139.99,140.04,89624080
2023-06-09,139.16,140.78,138.5,140.21,104050804
2023-06-12,140.42,140.85,139.76,140.47,86580754
2023-06-13,138.72,139.81,137.39,138.45,71263173
2023-06-14,139.75,139.92,138.86,139.45,65722293
2023-06-15,140.48,140.32,138.77,140.3,53200263
2023-06-16,141.16,141.94,141.27,141.68,62955429
2023-06-19,142.49,142.11,141.45,141.78,45532568
2023-06-20,143.4,143.61,141.58,142.91,84531963
2023-06-21,140.14,140.75,139.35,140.16,65138471
2023-06-22,140.23,141.5,138.94,140.07,87926366
2023-06-23,140.51,142.19,140.84,140.95,95831667
2023-06-26,142.06,143.53,140.17,141.82,97397676
2023-06-27,141.23,142.79,141.5,141.79,134029285
2023-06-28,144.64,144.67,144.23,144.49,72946956
2023-06-29,141.81,141.73,138.3,141.42,62289535
2023-06-30,140.11,139.75,138.04,139.7,43169608
2023-07-03,137.93,138.21,136.33,137.49,64466571
2023-07-04,136.19,137.18,134.24,135.97,69184470
2023-07-05,136.07,136.94,135.9,136.03,63403932
2023-07-06,133.07,134.2,133.79,133.81,93434497
2023-07-07,134.02,133.17,132.57,133.09,82611905
2023-07-10,131.27,133.36,130.48,131.19,76333573
2023-07-11,131.71,132.99,130.7,131.64,106328498
2023-07-12,132.42,133.11,132.23,132.66,114089689
2023-07-13,135.08,135.4,132.99,134.91,72969026
2023-07-14,132.7,134.11,132.8,133.19,90308029
2023-07-17,135.52,135.22,134.16,135.05,120186311
2023-07-18,137.6,138.59,136.13,136.94,59977700
2023-07-19,131.51,132.94,130.92,131.48,78908844
2023-07-20,129.64,130.13,128.59,129.84,98480660
2023-07-21,126.26,126.63,124.63,126.14,90236901
2023-07-24,121.34,123.21,121.74,122.23,71219861
2023-07-25,122.57,123.66,120.56,122.32,80049229
2023-07-26,121.66,122.32,121.53,121.7,104730138
2023-07-27,118.34,119.38,117.28,118.77,70887021
2023-07-28,115.86,116.8,115.39,116.56,118511578
2023-07-31,120.77,121.16,120.57,120.69,97835913
2023-08-01,120.74,122.03,120.11,120.72,117619625
2023-08-02,117.59,118.64,117.0,117.79,65128192
2023-08-03,118.47,118.98,116.7,118.89,107767364
2023-08-04,115.7,116.34,115.12,115.57,52952393
2023-08-07,116.79,117.27,116.61,116.76,121623303
2023-08-08,115.02,115.67,114.52,115.19,47425727
2023-08-09,116.95,117.47,117.18,117.47,60847503
2023-08-10,118.66,120.2,118.64,119.5,92497948
2023-08-11,122.6,123.68,120.14,122.31,78272002
2023-08-14,119.68,120.05,119.72,119.81,102515075
2023-08-15,116.0,117.67,114.77,116.29,95115588
2023-08-16,117.19,117.75,116.58,116.65,55607672
2023-08-17,118.17,119.55,117.33,118.42,77437142
2023-08-18,120.72,121.88,120.61,120.7,66471024
2023-08-21,126.35,125.86,124.83,125.66,42819410
2023-08-22,126.36,126.93,126.13,126.46,83725523
2023-08-23,128.78,129.41,127.87,128.66,86662537
2023-08-24,126.91,127.36,126.59,126.63,59371534
2023-08-25,122.88,124.9,123.27,123.3,66154249
2023-08-28,121.95,121.76,121.58,121.63,86162335
2023-08-29,122.96,124.26,121.77,123.56,59112329
2023-08-30,125.73,126.14,125.29,125.47,103259531
2023-08-31,122.5,122.66,120.61,122.61,95530998
2023-09-01,124.27,126.8,124.09,124.56,54881511
2023-09-04,128.42,129.87,128.73,128.97,55391605
2023-09-05,130.14,130.15,128.06,130.03,42320616
2023-09-06,132.41,134.29,130.71,132.74,121031060
2023-09-07,131.94,132.75,132.34,132.4,39743012
2023-09-08,133.53,135.44,132.86,133.9,69373252
2023-09-11,133.91,134.5,130.69,134.01,56276062
2023-09-12,134.56,134.58,133.49,134.16,48417979
2023-09-13,136.89,137.12,134.95,136.6,85071656
2023-09-14,137.09,138.74,137.17,137.23,57583158
2023-09-15,137.46,137.81,136.46,137.43,73678988
2023-09-18,138.74,139.68,137.5,138.57,68093903
2023-09-19,140.59,141.79,139.69,140.52,66106398
2023-09-20,142.31,143.51,140.31,142.42,96831890
2023-09-21,146.67,148.0,147.04,147.36,66994189
2023-09-22,148.06,149.53,147.06,148.22,83269468
2023-09-25,146.26,146.8,145.6,146.02,75600141
2023-09-26,148.88,149.57,148.33,149.13,85615825
2023-09-27,150.95,152.67,149.58,151.08,66346545
2023-09-28,153.28,155.14,152.27,152.92,73255468
2023-09-29,151.57,150.89,149.58,150.58,126350508
2023-10-02,149.13,151.09,147.75,149.31,76479313
2023-10-03,149.89,149.94,148.37,149.46,94444926
2023-10-04,150.92,152.23,150.76,151.4,52013198
2023-10-05,153.71,154.2,152.58,153.86,67109222
2023-10-06,157.69,159.37,156.09,157.33,87712020
2023-10-09,155.95,157.28,154.54,156.2,76905787
2023-10-10,155.89,155.44,154.16,155.36,88876110
2023-10-11,158.19,160.7,157.94,158.54,48001803
2023-10-12,161.82,162.92,160.58,162.5,92424250
2023-10-13,160.91,161.53,160.98,161.29,104927971
2023-10-16,160.31,162.24,159.63,160.97,70464079
2023-10-17,162.9,164.45,162.77,162.88,52106440
2023-10-18,160.92,161.81,161.14,161.38,48606412
2023-10-19,159.2,159.79,159.11,159.2,30864109
2023-10-20,163.18,164.38,161.62,162.32,88439717
2023-10-23,160.87,162.23,160.62,160.78,46406141
2023-10-24,162.06,163.23,162.0,162.24,65808813
2023-10-25,163.76,164.69,163.63,164.34,89879448
2023-10-26,164.33,164.89,161.12,164.2,56473636
2023-10-27,165.04,165.29,162.81,164.54,70567522
2023-10-30,164.59,165.41,163.74,164.83,64134388
2023-10-31,164.09,164.45,162.02,164.41,83558675
2023-11-01,165.12,165.51,164.23,164.9,94647218
2023-11-02,165.55,166.42,164.24,164.57,52452528
2023-11-03,162.29,163.3,161.66,162.67,52122119
2023-11-06,163.5,164.74,162.48,164.21,84240855
2023-11-07,165.24,165.69,164.1,164.93,103073260
2023-11-08,162.38,163.24,161.44,162.41,86161158
2023-11-09,165.39,167.43,163.96,165.64,74983939
2023-11-10,164.35,164.9,163.01,164.33,92803331
2023-11-13,165.42,165.19,163.79,165.15,27733608
2023-11-14,162.28,162.84,161.07,162.3,87399371
2023-11-15,160.07,160.13,159.9,159.97,58416304
2023-11-16,160.14,160.25,158.33,159.55,73398360
2023-11-17,155.31,155.72,153.91,155.53,97719077
2023-11-20,156.16,156.73,156.24,156.57,70129834
2023-11-21,153.93,153.75,152.73,153.72,45767472
2023-11-22,152.82,152.23,150.82,151.16,83755102
2023-11-23,149.75,149.06,148.8,148.98,111367726
2023-11-24,147.04,147.67,145.64,147.26,80516789
2023-11-27,148.43,149.13,147.32,148.35,81774056
2023-11-28,148.4,148.68,146.2,147.85,71140872
2023-11-29,150.42,152.31,149.37,149.6,66921032
2023-11-30,153.28,156.82,151.6,153.47,81990110
2023-12-01,152.86,153.32,152.08,152.63,38543439
2023-12-04,152.23,154.52,152.82,152.92,72573016
2023-12-05,154.69,155.85,154.92,155.32,68952576
2023-12-06,153.46,154.58,153.04,153.5,91945900
2023-12-07,153.7,152.95,152.7,152.91,42783440
2023-12-08,149.86,149.96,149.35,149.69,61307162
2023-12-11,149.11,149.75,149.13,149.39,112293031
2023-12-12,148.39,149.14,147.35,147.9,58169122
2023-12-13,150.93,150.9,150.45,150.73,53312632
2023-12-14,154.59,153.99,153.94,153.95,87982711
2023-12-15,153.5,154.2,153.17,153.59,65478797
2023-12-18,155.17,155.85,154.54,155.32,45010065
2023-12-19,159.25,160.1,158.33,159.0,104144011
2023-12-20,160.09,159.41,159.34,159.4,64440909
2023-12-21,159.74,161.54,157.66,159.63,76798936
2023-12-22,161.27,163.21,162.27,162.6,92742432
2023-12-25,163.65,164.28,162.63,163.68,113039208
2023-12-26,167.13,166.5,165.77,166.48,86093883
